Rank,Title,Author,Price
1,"Young Forever: The Secrets to Living Your Longest, Healthiest Life",Dr. Mark Hyman MD,$22.59
2,"Things We Hide from the Light (Knockemout Series, 2)",Lucy Score,$13.53
3,My Little Golden Book About Dolly Parton,Deborah Hopkinson,$0.98
4,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,$14.11
5,It Starts with Us: A Novel (2) (It Ends with Us),Colleen Hoover,$10.49
6,Stone Maidens,Lloyd Devereux Richards,$8.97
7,It's OK to Be Angry About Capitalism,Senator Bernie Sanders,$22.40
8,It Ends with Us: A Novel (1),Colleen Hoover,$9.99
9,Lessons in Chemistry: A Novel,Bonnie Garmus,$18.26
10,All My Knotted-Up Life: A Memoir,Beth Moore,$23.99
11,Taylor Swift: A Little Golden Book Biography,Wendy Loggia,$5.99
12,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,$11.40
13,Verity,Colleen Hoover,$10.98
14,The 48 Laws of Power,Robert Greene,$13.59
15,Love from the Crayons,Drew Daywalt,100 offers from $1.15
16,Super Mario Little Golden Book (Nintendo),Steve Foxe,$2.49
17,Things We Never Got Over (Knockemout),Lucy Score,$10.94
18,Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,B. Dylan Hollis,$25.34
19,The Mysteries,Bill Watterson,$17.99
20,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,$9.42
21,"8 Rules of Love: How to Find It, Keep It, and Let It Go",Jay Shetty,$17.74
22,"Tomorrow, and Tomorrow, and Tomorrow: A novel",Gabrielle Zevin,$15.49
23,Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,$10.16
24,I Love You to the Moon and Back,Amelia Hepworth,$4.76
25,Spare,Prince Harry  The Duke of Sussex,$22.40
26,The Very Hungry Caterpillar,Eric Carle,$6.56
27,"The Emotional Lives of Teenagers: Raising Connected, Capable, and Compassionate Adolescents",Lisa Damour Ph.D.,$25.20
28,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,$4.69
29,The Housemaid's Secret: A totally gripping psychological thriller with a shocking twist,Freida McFadden,$10.99
30,The Creative Act: A Way of Being,Rick Rubin,$24.38
